Identification,X,Y,Z,formation,series,id
4300025395,571618,6693335,-24,unit1,Unit1,1
4300025395,571618,6693335,-66,unit2,Unit2,2
4300025395,571618,6693335,-96,unit3,Unit3,3
4300008570,576363,6683132,-26,unit1,Unit1,1
4300008570,576363,6683132,-70,unit2,Unit2,2
4300008570,576363,6683132,-91,unit3,Unit3,3
4300008570*,576363,6683132,-147,unit4,Unit4,4
COR-TRA-OAS02,580269,6674273,-27,unit1,Unit1,1
COR-TRA-OAS02,580269,6674273,-75,unit2,Unit2,2
COR-TRA-OAS02,580269,6674273,-87,unit3,Unit3,3
COR-TRA-OAS02*,580269,6674273,-122,unit4,Unit4,4
4300025396,587283,6694846,-27,unit1,Unit1,1
4300025396,587283,6694846,-60,unit2,Unit2,2
4300025396,587283,6694846,-86,unit3,Unit3,3
4300025396*,587283,6694846,-100,unit4,Unit4,4
TG-95,579026,6702063,-20,unit1,Unit1,1
TG-95,579026,6702063,-55,unit2,Unit2,2
TG-95,579026,6702063,-75,unit3,Unit3,3
TG-95,579026,6702063,-90,unit4,Unit4,4
4300020527,594058,6708510,-12,unit1,Unit1,1
4300020527,594058,6708510,-55,unit2,Unit2,2
4300020527,594058,6708510,-91,unit3,Unit3,3
4300020527*,594058,6708510,-100,unit4,Unit4,4
4300020526,601315,6726985,-22,unit1,Unit1,1
4300020526,601315,6726985,-55,unit2,Unit2,2
4300020526*,601315,6726985,-100,unit3,Unit3,3
4300021805,615509,6743521,-20,unit1,Unit1,1
4300021805,615509,6743521,-88,unit2,Unit2,2
4300021805,615509,6743521,-90,unit3,Unit3,3
4300021805*,615509,6743521,-100,unit4,Unit4,4
4300020530,565115,6687060,-30,unit1,Unit1,1
4300020530,565115,6687060,-60,unit2,Unit2,2
4300020530,565115,6687060,-88,unit3,Unit3,3
4300020530*,565115,6687060,-100,unit4,Unit4,4
4300025120,580441,6675221,-35,unit1,Unit1,1
4300025120,580441,6675221,-65,unit2,Unit2,2
4300025120,580441,6675221,-90,unit3,Unit3,3
4300025120*,580441,6675221,-100,unit4,Unit4,4
4300028406,580269,6674273,-21,unit1,Unit1,1
4300028406,580269,6674273,-69,unit2,Unit2,2
4300028406,580269,6674273,-81,unit3,Unit3,3
4300028406*,580269,6674273,-100,unit4,Unit4,4
4300024092,587361,6694873,-21,unit1,Unit1,1
4300024092,587361,6694873,-65,unit2,Unit2,2
4300024092,587361,6694873,-85,unit3,Unit3,3
4300024092*,587361,6694873,-100,unit4,Unit4,4
